credit_score,monthly_income,age,existing_emis,employment_type,loan_amount,property_owned,annual_income,dti_ratio,income_to_loan_ratio,approved
739,32627,38,14171,2,2500000,0,391524,0.4343,0.1566,0
688,40810,37,3927,2,1400000,1,489720,0.0962,0.3498,1
751,34254,25,10084,0,1000000,0,411048,0.2944,0.411,1
821,52378,40,21368,0,1700000,0,628536,0.408,0.3697,1
681,100539,21,20900,1,3100000,0,1206468,0.2079,0.3892,0
681,30864,28,4400,0,1400000,0,370368,0.1426,0.2645,0
826,89365,21,26817,1,4500000,0,1072380,0.3001,0.2383,1
761,30668,50,433,1,1200000,0,368016,0.0141,0.3067,1
662,29478,32,4777,0,1100000,0,353736,0.1621,0.3216,0
743,80110,56,9299,0,5000000,0,961320,0.1161,0.1923,1
662,85234,43,8615,0,500000,0,1022808,0.1011,2.0456,1
662,81702,39,6609,1,6500000,1,980424,0.0809,0.1508,0
719,22259,29,7382,0,1300000,0,267108,0.3316,0.2055,0
546,37065,24,15930,0,2200000,0,444780,0.4298,0.2022,0
562,80321,40,13907,0,3100000,1,963852,0.1731,0.3109,0
655,50258,34,1110,0,4000000,0,603096,0.0221,0.1508,0
618,25739,21,8326,0,100000,1,308868,0.3235,3.0886,0
725,64536,21,15630,0,700000,0,774432,0.2422,1.1063,1
627,31924,25,10395,1,2100000,0,383088,0.3256,0.1824,0
587,143877,53,41948,0,9100000,1,1726524,0.2916,0.1897,0
817,123859,57,50465,0,3300000,0,1486308,0.4074,0.4504,1
681,70435,37,4451,2,3600000,0,845220,0.0632,0.2348,1
705,110924,36,8443,1,5200000,0,1331088,0.0761,0.256,1
586,50964,31,7833,1,2400000,0,611568,0.1537,0.2548,0
656,77595,25,17158,0,4000000,0,931140,0.2211,0.2328,0
708,118970,48,49559,0,9900000,0,1427640,0.4166,0.1442,1
607,56800,53,23182,0,4700000,1,681600,0.4081,0.145,0
730,42061,26,16502,2,3400000,0,504732,0.3923,0.1485,0
651,17627,34,1765,2,800000,1,211524,0.1001,0.2644,0
676,46635,30,15312,2,1400000,0,559620,0.3283,0.3997,0
651,80342,30,13864,0,3900000,0,964104,0.1726,0.2472,1
848,86455,46,36227,2,4700000,1,1037460,0.419,0.2207,1
698,66344,21,6404,2,2000000,0,796128,0.0965,0.3981,1
615,35426,39,2251,0,1900000,0,425112,0.0635,0.2237,0
765,14971,42,5675,0,800000,1,179652,0.3791,0.2246,0
602,36419,33,11749,0,2700000,0,437028,0.3226,0.1619,0
716,40839,43,15095,0,1000000,1,490068,0.3696,0.4901,1
543,40629,36,2887,0,2400000,1,487548,0.0711,0.2031,0
