Loan_ID,Gender,Married,Dependents,Education,Self_Employed,ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term,Credit_History,Property_Area,Loan_Status
LP000001,Male,Yes,1,Graduate,No,1922.0,905,181.0,360.0,1.0,Rural,Y
LP000002,Male,No,1,Graduate,No,3614.0,0,94.0,120.0,0.0,Rural,N
LP000003,Female,No,0,Graduate,Yes,3306.0,0,329.0,360.0,1.0,Rural,Y
LP000004,Male,Yes,0,Not Graduate,No,4015.0,2013,203.0,180.0,0.0,Semiurban,N
LP000005,Male,Yes,0,Graduate,No,7186.0,1833,116.0,360.0,0.0,Semiurban,N
LP000006,Female,Yes,0,Graduate,No,8305.0,2110,122.0,12.0,1.0,Semiurban,Y
LP000007,Male,No,0,Graduate,No,3281.0,0,288.0,360.0,0.0,Urban,N
LP000008,Male,No,3+,Not Graduate,No,3738.0,0,117.0,360.0,1.0,Rural,Y
LP000009,Male,No,0,Graduate,No,11500.0,0,111.0,360.0,1.0,Semiurban,Y
LP000010,Male,Yes,0,Graduate,Yes,16700.0,1916,212.0,360.0,1.0,Semiurban,Y
LP000011,Male,Yes,1,Graduate,No,12753.0,5624,77.0,360.0,1.0,Urban,Y
LP000012,Female,Yes,0,Graduate,No,2235.0,3145,130.0,360.0,1.0,Urban,Y
LP000013,Male,Yes,0,Not Graduate,No,12254.0,5871,139.0,360.0,1.0,Rural,Y
LP000014,Female,No,0,Not Graduate,No,18255.0,0,101.0,360.0,1.0,Urban,Y
LP000015,Male,Yes,3+,Graduate,Yes,2170.0,1360,72.0,300.0,1.0,Urban,Y
LP000016,Male,Yes,0,Not Graduate,No,11494.0,9500,138.0,36.0,1.0,Semiurban,Y
LP000017,Male,Yes,1,Graduate,No,6871.0,998,177.0,360.0,1.0,Semiurban,Y
LP000018,Male,Yes,2,Not Graduate,No,4933.0,982,102.0,240.0,1.0,Urban,Y
LP000019,Female,Yes,0,Graduate,,6398.0,1455,84.0,180.0,1.0,Urban,Y
LP000020,Male,Yes,1,Graduate,No,7832.0,9086,222.0,360.0,1.0,Rural,Y
LP000021,Male,No,0,Not Graduate,No,12023.0,0,166.0,360.0,0.0,Rural,N
LP000022,Male,No,0,Not Graduate,No,11656.0,0,116.0,360.0,1.0,Semiurban,Y
LP000023,Female,No,0,Graduate,No,2430.0,0,194.0,360.0,,Rural,Y
LP000024,Female,Yes,3+,Graduate,Yes,4068.0,387,148.0,300.0,1.0,Urban,Y
LP000025,Male,Yes,0,Not Graduate,No,6350.0,1786,275.0,360.0,,Semiurban,Y
LP000026,Male,Yes,0,Graduate,No,15419.0,1162,175.0,360.0,1.0,Semiurban,Y
LP000027,Male,Yes,3+,Graduate,No,1169.0,3110,77.0,480.0,1.0,Rural,Y
LP000028,Male,Yes,0,Graduate,No,4161.0,7268,103.0,360.0,1.0,Rural,Y
LP000029,Male,Yes,2,Graduate,No,2400.0,1372,105.0,360.0,1.0,Urban,Y
LP000030,Male,Yes,1,Graduate,No,2640.0,1372,152.0,360.0,1.0,Urban,Y
LP000031,Male,Yes,1,Not Graduate,No,10845.0,13552,119.0,360.0,1.0,Rural,Y
LP000032,Female,No,2,Graduate,No,4363.0,0,86.0,36.0,1.0,Urban,Y
LP000033,Male,Yes,1,Graduate,No,1480.0,617,170.0,300.0,,Semiurban,Y
LP000034,Male,Yes,0,Graduate,No,5459.0,5443,200.0,360.0,,Semiurban,Y
LP000035,Male,Yes,3+,Not Graduate,No,20364.0,1736,129.0,12.0,1.0,Urban,Y
LP000036,Male,Yes,3+,Graduate,No,2030.0,2268,146.0,360.0,1.0,Semiurban,Y
LP000037,Male,No,2,Not Graduate,No,8265.0,0,91.0,300.0,1.0,Semiurban,Y
LP000038,Male,Yes,1,Graduate,No,15377.0,589,109.0,360.0,1.0,Rural,Y
LP000039,Male,No,0,Graduate,No,5828.0,0,,360.0,1.0,Urban,Y
LP000040,Male,No,0,Not Graduate,No,19088.0,0,168.0,240.0,0.0,Urban,N
LP000041,Male,Yes,0,Graduate,No,4040.0,2364,149.0,360.0,1.0,Urban,Y
LP000042,Female,Yes,0,Not Graduate,Yes,14294.0,1162,118.0,360.0,1.0,Urban,Y
LP000043,Male,Yes,1,Graduate,No,12406.0,707,116.0,480.0,1.0,Semiurban,Y
LP000044,Male,Yes,1,Graduate,Yes,5887.0,3248,,84.0,1.0,Urban,Y
LP000045,Female,Yes,0,Graduate,No,2459.0,1823,255.0,360.0,,Urban,Y
LP000046,Female,No,0,Not Graduate,No,3291.0,0,58.0,480.0,1.0,Rural,Y
LP000047,Male,Yes,1,Graduate,No,1471.0,698,,360.0,1.0,Urban,Y
LP000048,Male,No,,Graduate,No,8574.0,0,136.0,360.0,1.0,Urban,Y
LP000049,Male,Yes,3+,Graduate,No,7979.0,475,121.0,180.0,,Rural,Y
LP000050,Male,No,1,Not Graduate,No,6295.0,0,134.0,360.0,0.0,Semiurban,N
LP000051,Male,Yes,0,Not Graduate,No,5577.0,5280,103.0,240.0,0.0,Urban,N
LP000052,Male,Yes,0,Not Graduate,No,13556.0,3083,174.0,360.0,0.0,Rural,N
LP000053,Male,Yes,1,Graduate,No,7177.0,1098,79.0,360.0,1.0,Semiurban,Y
LP000054,Male,Yes,0,Graduate,Yes,4304.0,2252,153.0,36.0,,Urban,Y
LP000055,Male,No,2,Not Graduate,No,6557.0,0,102.0,360.0,1.0,Urban,Y
LP000056,Male,Yes,0,Not Graduate,Yes,20507.0,2016,,360.0,1.0,Rural,Y
LP000057,Male,Yes,0,Not Graduate,No,8719.0,1392,114.0,360.0,1.0,Urban,Y
LP000058,Male,Yes,0,Not Graduate,No,4751.0,787,126.0,360.0,1.0,Rural,Y
LP000059,Male,Yes,1,Not Graduate,No,5845.0,2978,164.0,360.0,0.0,Urban,N
LP000060,Male,Yes,3+,Graduate,No,7927.0,372,132.0,360.0,1.0,Urban,Y
LP000061,,Yes,2,Graduate,,4663.0,700,195.0,84.0,1.0,Rural,Y
LP000062,Male,Yes,0,Not Graduate,Yes,4422.0,771,204.0,360.0,1.0,Rural,Y
LP000063,Male,Yes,2,Graduate,Yes,5962.0,1207,152.0,360.0,1.0,Urban,Y
LP000064,Male,Yes,0,Graduate,Yes,14935.0,5113,176.0,240.0,1.0,Urban,Y
LP000065,Male,No,1,Graduate,No,9649.0,0,302.0,360.0,1.0,Semiurban,Y
LP000066,Male,Yes,3+,Graduate,No,4695.0,1967,76.0,360.0,1.0,Semiurban,Y
LP000067,Male,Yes,0,Not Graduate,No,10111.0,1894,207.0,360.0,,Semiurban,N
LP000068,Male,Yes,3+,Not Graduate,No,6034.0,1791,249.0,360.0,1.0,Urban,Y
LP000069,Male,Yes,0,Graduate,No,7382.0,5418,160.0,360.0,1.0,Rural,Y
LP000070,Male,Yes,0,Graduate,,6990.0,423,288.0,360.0,1.0,Urban,Y
LP000071,Male,Yes,0,Graduate,No,1692.0,3352,273.0,360.0,0.0,Urban,N
LP000072,Male,Yes,3+,Not Graduate,No,964.0,1204,117.0,360.0,1.0,Urban,Y
LP000073,Female,Yes,0,Graduate,No,6877.0,2704,121.0,360.0,1.0,Urban,Y
LP000074,Male,Yes,2,Graduate,No,3599.0,2714,166.0,360.0,1.0,Semiurban,Y
LP000075,Male,No,0,Graduate,No,2245.0,0,105.0,360.0,0.0,Urban,N
LP000076,Male,Yes,2,Graduate,No,3666.0,6418,397.0,360.0,1.0,Semiurban,Y
LP000077,Male,Yes,0,Graduate,No,10454.0,604,184.0,60.0,0.0,Urban,N
LP000078,Male,Yes,0,Graduate,No,7441.0,4041,137.0,360.0,1.0,Urban,Y
LP000079,Male,Yes,1,Graduate,Yes,9538.0,1718,76.0,180.0,1.0,Rural,Y
LP000080,Male,No,1,Graduate,Yes,7878.0,0,149.0,360.0,1.0,Semiurban,Y
LP000081,Male,Yes,0,Graduate,No,3459.0,9200,84.0,480.0,1.0,Urban,Y
LP000082,Male,Yes,0,Graduate,No,9566.0,3170,182.0,360.0,1.0,Urban,Y
LP000083,Female,Yes,0,Graduate,No,8531.0,1295,49.0,360.0,1.0,Semiurban,Y
LP000084,Male,Yes,3+,Graduate,No,5594.0,3889,234.0,120.0,1.0,Rural,Y
LP000085,Male,No,1,Graduate,No,6219.0,0,113.0,360.0,1.0,Semiurban,Y
LP000086,Male,Yes,2,Not Graduate,No,9657.0,1279,68.0,360.0,1.0,Rural,Y
LP000087,Male,No,1,Graduate,No,3829.0,0,133.0,360.0,1.0,Urban,Y
LP000088,Male,Yes,2,Graduate,No,11530.0,2307,135.0,360.0,1.0,Rural,Y
LP000089,Male,No,0,Graduate,No,8426.0,0,131.0,480.0,1.0,Urban,Y
LP000090,Male,Yes,0,Graduate,No,6011.0,2047,233.0,360.0,1.0,Urban,Y
LP000091,Male,Yes,1,Graduate,No,15044.0,3676,156.0,12.0,1.0,Semiurban,Y
LP000092,Male,No,0,Graduate,No,2761.0,0,185.0,360.0,1.0,Urban,Y
LP000093,Male,Yes,0,Graduate,No,4555.0,8789,122.0,300.0,1.0,Semiurban,Y
LP000094,Male,Yes,1,Not Graduate,Yes,3986.0,1827,159.0,300.0,1.0,Urban,Y
LP000095,Male,No,2,Graduate,No,7442.0,0,80.0,36.0,1.0,Semiurban,Y
LP000096,Male,Yes,1,Not Graduate,Yes,12203.0,3948,149.0,360.0,1.0,Semiurban,Y
LP000097,Male,No,0,Graduate,No,3328.0,0,99.0,300.0,1.0,Semiurban,Y
LP000098,Male,Yes,3+,Graduate,No,43621.0,8758,228.0,480.0,1.0,Semiurban,Y
LP000099,Male,No,0,Not Graduate,Yes,4033.0,0,,360.0,1.0,Urban,Y
LP000100,,No,0,Graduate,No,7453.0,0,175.0,360.0,1.0,Rural,Y
LP000101,Female,Yes,3+,Graduate,Yes,6013.0,1653,149.0,360.0,0.0,Semiurban,N
LP000102,Male,Yes,2,Graduate,No,6171.0,1977,277.0,120.0,0.0,Semiurban,N
LP000103,Male,Yes,3+,Graduate,No,3731.0,1316,72.0,360.0,1.0,Urban,Y
LP000104,Female,Yes,2,Graduate,No,11390.0,1171,128.0,36.0,1.0,Urban,Y
LP000105,Male,No,1,Graduate,No,3596.0,0,91.0,360.0,1.0,Urban,Y
LP000106,Male,Yes,0,Graduate,No,2077.0,1955,59.0,84.0,1.0,Semiurban,Y
LP000107,Male,Yes,0,Graduate,No,3062.0,3817,89.0,360.0,1.0,Rural,Y
LP000108,Male,Yes,3+,Graduate,No,14288.0,1218,215.0,360.0,1.0,Rural,Y
LP000109,Male,Yes,2,Graduate,No,12712.0,1390,133.0,360.0,1.0,Semiurban,Y
LP000110,Female,No,0,Not Graduate,Yes,1800.0,0,123.0,360.0,1.0,Semiurban,Y
LP000111,Male,Yes,0,Graduate,No,9781.0,816,183.0,300.0,1.0,Semiurban,Y
LP000112,Male,Yes,0,Graduate,No,1828.0,1497,141.0,300.0,1.0,Urban,Y
LP000113,Male,No,0,Not Graduate,No,5906.0,0,172.0,360.0,1.0,Semiurban,Y
LP000114,Male,No,2,Not Graduate,No,2908.0,0,153.0,360.0,1.0,Semiurban,Y
LP000115,Male,Yes,0,Graduate,No,10244.0,697,167.0,180.0,1.0,Urban,Y
LP000116,Female,No,0,Graduate,No,8373.0,0,112.0,360.0,1.0,Urban,Y
LP000117,Male,Yes,3+,Graduate,No,10805.0,4640,204.0,300.0,1.0,Urban,Y
LP000118,Male,No,0,Not Graduate,Yes,5028.0,0,83.0,180.0,1.0,Semiurban,Y
LP000119,Male,Yes,0,Graduate,No,5352.0,4982,130.0,360.0,0.0,Urban,N
LP000120,Male,Yes,0,Graduate,No,2442.0,1273,208.0,300.0,1.0,Urban,Y
LP000121,Male,Yes,0,Graduate,No,3235.0,3194,126.0,360.0,1.0,Urban,Y
LP000122,Male,Yes,0,Graduate,No,10605.0,1519,113.0,84.0,1.0,Rural,Y
LP000123,Male,Yes,0,Graduate,No,7483.0,2610,335.0,360.0,,Rural,Y
LP000124,Male,Yes,0,Not Graduate,No,6391.0,6550,237.0,360.0,,Rural,Y
LP000125,Male,Yes,0,Graduate,No,12801.0,1641,142.0,240.0,,Rural,N
LP000126,Male,Yes,0,Graduate,,2752.0,4013,91.0,360.0,0.0,Urban,N
LP000127,Male,Yes,0,Not Graduate,No,9247.0,2252,59.0,360.0,1.0,Urban,Y
LP000128,Male,Yes,3+,Graduate,No,2959.0,964,178.0,360.0,1.0,Semiurban,Y
LP000129,Male,No,0,Graduate,Yes,14570.0,0,223.0,360.0,1.0,Semiurban,Y
LP000130,Male,No,0,Graduate,Yes,8322.0,0,157.0,480.0,1.0,Semiurban,Y
LP000131,Male,Yes,2,Not Graduate,No,10708.0,584,68.0,180.0,0.0,Urban,N
LP000132,Female,Yes,0,Graduate,No,3940.0,2610,143.0,360.0,1.0,Rural,Y
LP000133,Male,Yes,0,Not Graduate,No,22231.0,3061,111.0,480.0,0.0,Urban,N
LP000134,Male,Yes,2,Graduate,No,19913.0,3463,143.0,360.0,1.0,Semiurban,Y
LP000135,Male,No,0,Graduate,No,7772.0,0,292.0,84.0,1.0,Rural,Y
LP000136,Male,Yes,0,Graduate,No,12151.0,3878,184.0,360.0,1.0,Semiurban,Y
LP000137,Female,Yes,1,Graduate,Yes,5008.0,1116,169.0,360.0,1.0,Semiurban,Y
LP000138,Male,Yes,1,Graduate,Yes,2804.0,1323,132.0,240.0,1.0,Semiurban,Y
LP000139,Male,Yes,0,Graduate,No,9677.0,3537,159.0,360.0,1.0,Rural,Y
LP000140,Male,No,0,Graduate,No,3458.0,0,,360.0,1.0,Rural,Y
LP000141,Male,Yes,0,Graduate,No,13176.0,1782,,360.0,1.0,Semiurban,Y
LP000142,Male,Yes,2,Not Graduate,Yes,11257.0,898,124.0,360.0,1.0,Urban,Y
LP000143,Female,Yes,0,Graduate,No,6913.0,1183,97.0,360.0,1.0,Rural,Y
LP000144,Male,No,0,Graduate,No,6685.0,0,186.0,360.0,1.0,Semiurban,Y
LP000145,Male,Yes,0,Graduate,Yes,10868.0,380,55.0,360.0,,Semiurban,N
LP000146,Male,No,3+,Graduate,No,7078.0,0,108.0,240.0,1.0,Semiurban,Y
LP000147,Male,No,0,Not Graduate,No,4709.0,0,172.0,360.0,1.0,Urban,Y
LP000148,Male,Yes,0,Not Graduate,No,2419.0,1180,219.0,360.0,1.0,Semiurban,Y
LP000149,Male,No,0,Graduate,Yes,10672.0,0,162.0,360.0,1.0,Rural,Y
LP000150,Male,Yes,1,Not Graduate,No,7479.0,6383,103.0,300.0,1.0,Urban,Y
LP000151,Female,No,0,Graduate,No,31363.0,0,132.0,84.0,,Urban,Y
LP000152,Female,Yes,2,Not Graduate,No,5667.0,475,151.0,300.0,,Urban,Y
LP000153,Male,Yes,0,Not Graduate,No,7196.0,1449,251.0,360.0,1.0,Semiurban,Y
LP000154,Male,Yes,0,Graduate,No,7298.0,1045,194.0,300.0,1.0,Urban,Y
LP000155,Male,Yes,,Graduate,No,8870.0,1772,195.0,360.0,1.0,Semiurban,Y
LP000156,Male,Yes,0,Not Graduate,No,3361.0,2781,138.0,360.0,0.0,Urban,N
LP000157,Male,Yes,0,Graduate,Yes,5731.0,2348,87.0,360.0,0.0,Urban,N
LP000158,Male,Yes,2,Graduate,No,9863.0,1876,77.0,360.0,1.0,Urban,Y
LP000159,Male,Yes,0,Graduate,No,4916.0,4216,119.0,360.0,1.0,Urban,Y
LP000160,Male,Yes,2,Graduate,No,9644.0,3092,178.0,360.0,1.0,Rural,Y
LP000161,Male,No,0,Graduate,No,6362.0,0,110.0,360.0,1.0,Rural,Y
LP000162,Female,No,0,Graduate,Yes,7640.0,0,169.0,360.0,1.0,Semiurban,Y
LP000163,Male,Yes,0,Graduate,No,11976.0,525,98.0,360.0,1.0,Rural,Y
LP000164,Male,Yes,0,Graduate,No,5237.0,4234,104.0,360.0,1.0,Urban,Y
LP000165,Male,Yes,0,Graduate,No,2512.0,1840,236.0,360.0,0.0,Rural,N
LP000166,Male,No,3+,Graduate,No,5116.0,0,182.0,360.0,1.0,Semiurban,Y
LP000167,Female,Yes,3+,Graduate,Yes,3658.0,1296,119.0,360.0,1.0,Semiurban,Y
LP000168,Female,No,2,Graduate,No,1677.0,0,96.0,360.0,1.0,Semiurban,Y
LP000169,,Yes,2,Graduate,No,5631.0,978,196.0,480.0,1.0,Urban,Y
LP000170,Female,Yes,0,Graduate,No,6764.0,2511,191.0,360.0,0.0,Urban,N
LP000171,Male,No,0,Graduate,No,11075.0,0,173.0,360.0,1.0,Urban,Y
LP000172,Male,Yes,0,Graduate,No,3030.0,1844,125.0,360.0,1.0,Semiurban,Y
LP000173,Male,No,2,Graduate,No,6330.0,0,87.0,360.0,1.0,Semiurban,Y
LP000174,Female,Yes,0,Not Graduate,No,11812.0,1718,133.0,60.0,1.0,Rural,Y
LP000175,Male,Yes,0,Graduate,No,4252.0,586,236.0,360.0,1.0,Urban,Y
LP000176,Male,Yes,1,Not Graduate,No,8281.0,1223,93.0,360.0,1.0,Semiurban,Y
LP000177,Male,Yes,0,Graduate,No,15656.0,746,137.0,300.0,1.0,Semiurban,Y
LP000178,Female,Yes,1,Graduate,No,1964.0,1741,258.0,60.0,0.0,Urban,N
LP000179,Female,Yes,0,Graduate,No,7070.0,655,119.0,360.0,0.0,Urban,N
LP000180,Male,Yes,1,Graduate,No,12061.0,1933,128.0,360.0,1.0,Semiurban,Y
LP000181,Female,No,2,Graduate,Yes,4864.0,0,78.0,360.0,1.0,Semiurban,Y
LP000182,Female,Yes,1,Not Graduate,No,13795.0,4706,172.0,360.0,1.0,Urban,Y
LP000183,Male,Yes,0,Not Graduate,No,8783.0,668,100.0,360.0,1.0,Urban,Y
LP000184,Male,No,0,Graduate,No,17355.0,0,72.0,360.0,1.0,Urban,Y
LP000185,Male,Yes,0,Not Graduate,Yes,8514.0,3577,92.0,300.0,1.0,Rural,Y
LP000186,Male,No,0,Graduate,No,18243.0,0,146.0,300.0,1.0,Rural,Y
LP000187,Male,Yes,1,Graduate,Yes,7187.0,1105,71.0,360.0,1.0,Urban,Y
LP000188,Male,Yes,0,Not Graduate,No,2642.0,1225,77.0,360.0,1.0,Semiurban,Y
LP000189,Male,No,0,Graduate,No,4111.0,0,168.0,180.0,1.0,Rural,Y
LP000190,Male,Yes,0,Graduate,No,11059.0,417,130.0,360.0,1.0,Urban,Y
LP000191,Female,Yes,3+,Graduate,No,10929.0,2752,93.0,60.0,1.0,Urban,Y
LP000192,Male,No,0,Graduate,No,4982.0,0,118.0,60.0,1.0,Urban,Y
LP000193,Male,Yes,0,Graduate,No,17722.0,1324,,300.0,0.0,Urban,N
LP000194,Female,No,0,Graduate,No,4854.0,0,224.0,360.0,1.0,Rural,Y
LP000195,Male,No,0,Graduate,No,7920.0,0,129.0,240.0,0.0,Rural,N
LP000196,Male,No,3+,Graduate,No,7790.0,0,186.0,360.0,1.0,Semiurban,Y
LP000197,Male,Yes,0,Not Graduate,No,2702.0,3188,141.0,360.0,1.0,Urban,Y
LP000198,Female,Yes,1,Graduate,Yes,5618.0,628,66.0,360.0,1.0,Rural,Y
LP000199,Male,No,1,Graduate,No,25039.0,0,61.0,480.0,1.0,Urban,Y
LP000200,Male,Yes,2,Graduate,No,3452.0,2518,93.0,300.0,1.0,Urban,Y
LP000201,Male,Yes,1,Graduate,No,8735.0,4114,72.0,360.0,1.0,Urban,Y
LP000202,Female,Yes,2,Graduate,No,3003.0,733,150.0,360.0,0.0,Rural,N
LP000203,Male,Yes,0,Graduate,No,3430.0,1667,108.0,300.0,1.0,Semiurban,Y
LP000204,Male,Yes,0,Not Graduate,No,2569.0,508,159.0,84.0,1.0,Semiurban,Y
LP000205,Male,Yes,1,Graduate,No,10558.0,1031,160.0,360.0,0.0,Semiurban,N
LP000206,Male,Yes,0,Graduate,No,3559.0,1472,177.0,360.0,1.0,Urban,Y
LP000207,Male,Yes,0,Graduate,No,12842.0,2673,93.0,360.0,1.0,Urban,Y
LP000208,Male,No,0,Not Graduate,No,4364.0,0,165.0,360.0,1.0,Rural,Y
LP000209,Male,Yes,0,Graduate,No,6482.0,5200,92.0,60.0,1.0,Rural,Y
LP000210,Male,Yes,0,Graduate,No,7683.0,1577,178.0,360.0,1.0,Semiurban,Y
LP000211,Male,Yes,0,Graduate,No,2275.0,5092,219.0,360.0,1.0,Urban,Y
LP000212,Male,Yes,0,Graduate,No,6783.0,3162,179.0,360.0,,Rural,Y
LP000213,Male,No,0,Graduate,Yes,7405.0,0,125.0,240.0,0.0,Semiurban,N
LP000214,Female,No,0,Graduate,No,11897.0,0,168.0,480.0,1.0,Urban,Y
LP000215,Male,Yes,1,Graduate,No,3375.0,967,,360.0,1.0,Urban,Y
LP000216,Male,Yes,0,Graduate,No,3677.0,2015,66.0,360.0,,Urban,Y
LP000217,Male,Yes,1,Graduate,No,8917.0,818,162.0,360.0,1.0,Semiurban,Y
LP000218,Male,Yes,0,Graduate,No,14009.0,1666,227.0,360.0,1.0,Semiurban,Y
LP000219,Female,Yes,0,Graduate,No,4207.0,3217,82.0,360.0,1.0,Urban,Y
LP000220,Male,Yes,1,Graduate,No,2861.0,4455,135.0,360.0,1.0,Urban,Y
LP000221,Male,Yes,2,Graduate,Yes,4964.0,1332,160.0,360.0,1.0,Semiurban,Y
LP000222,Male,Yes,1,Graduate,No,3268.0,690,105.0,12.0,1.0,Semiurban,Y
LP000223,Male,Yes,1,Graduate,No,7621.0,1917,117.0,12.0,1.0,Urban,Y
LP000224,Female,Yes,1,Graduate,No,3140.0,914,172.0,360.0,1.0,Urban,Y
LP000225,Male,Yes,1,Graduate,No,10762.0,1139,140.0,360.0,1.0,Rural,Y
LP000226,Female,Yes,1,Graduate,No,6820.0,3095,140.0,360.0,1.0,Rural,Y
LP000227,Male,Yes,1,Graduate,No,10965.0,2666,91.0,360.0,1.0,Urban,Y
LP000228,Male,Yes,0,Graduate,No,1403.0,3524,133.0,360.0,1.0,Semiurban,Y
LP000229,Male,Yes,0,Graduate,No,2090.0,1381,115.0,360.0,1.0,Rural,Y
LP000230,Male,Yes,0,Graduate,No,13038.0,4053,117.0,360.0,1.0,Urban,Y
LP000231,Male,No,0,Graduate,Yes,3898.0,0,108.0,300.0,1.0,Rural,Y
LP000232,Male,No,2,Not Graduate,No,2490.0,0,133.0,360.0,1.0,Semiurban,Y
LP000233,Female,Yes,0,Graduate,No,5315.0,751,95.0,360.0,1.0,Semiurban,Y
LP000234,Male,Yes,0,Graduate,No,6942.0,340,135.0,360.0,1.0,Semiurban,Y
LP000235,Female,No,2,Graduate,No,5460.0,0,116.0,180.0,,Urban,Y
LP000236,Female,Yes,0,Not Graduate,No,7949.0,2148,92.0,360.0,1.0,Rural,Y
LP000237,Male,Yes,2,Graduate,No,7328.0,875,,360.0,1.0,Semiurban,Y
LP000238,Male,Yes,0,Graduate,No,7102.0,485,196.0,180.0,1.0,Urban,Y
LP000239,Male,Yes,0,Graduate,No,13481.0,1293,181.0,360.0,1.0,Semiurban,Y
LP000240,Male,Yes,0,Graduate,No,5952.0,2262,97.0,300.0,1.0,Rural,Y
LP000241,Female,Yes,0,Graduate,No,5848.0,2520,176.0,360.0,1.0,Rural,Y
LP000242,Male,Yes,0,Not Graduate,No,9718.0,1767,89.0,360.0,1.0,Semiurban,Y
LP000243,Male,Yes,0,Graduate,Yes,8363.0,1722,119.0,360.0,1.0,Urban,Y
LP000244,Male,Yes,0,Not Graduate,No,3492.0,1175,109.0,360.0,1.0,Urban,Y
LP000245,Male,Yes,0,Not Graduate,No,5680.0,3002,120.0,360.0,1.0,Urban,Y
LP000246,Female,No,2,Not Graduate,Yes,7808.0,0,174.0,36.0,1.0,Rural,Y
LP000247,Male,Yes,0,Not Graduate,No,4221.0,1701,114.0,360.0,1.0,Rural,Y
LP000248,Male,Yes,0,Graduate,No,4344.0,4148,117.0,360.0,1.0,Rural,Y
LP000249,Male,Yes,0,Graduate,Yes,2605.0,3407,181.0,360.0,1.0,Urban,Y
LP000250,Male,No,3+,Graduate,No,1065.0,0,138.0,360.0,0.0,Rural,N
LP000251,Male,Yes,2,Graduate,,4796.0,1392,106.0,240.0,1.0,Rural,Y
LP000252,Female,Yes,3+,Graduate,No,6479.0,1383,148.0,360.0,,Semiurban,Y
LP000253,Male,Yes,3+,Not Graduate,No,3111.0,359,200.0,60.0,1.0,Rural,Y
LP000254,Male,No,0,Graduate,No,13722.0,0,205.0,360.0,1.0,Semiurban,Y
LP000255,Male,No,1,Graduate,,3203.0,0,79.0,360.0,1.0,Urban,Y
LP000256,Male,No,0,Graduate,Yes,10379.0,0,81.0,360.0,1.0,Urban,Y
LP000257,Female,Yes,2,Graduate,No,7717.0,1869,200.0,240.0,1.0,Urban,Y
LP000258,Male,Yes,0,Graduate,No,22155.0,5505,120.0,360.0,1.0,Urban,Y
LP000259,Male,Yes,0,Graduate,No,8299.0,2762,56.0,360.0,1.0,Semiurban,Y
LP000260,Male,Yes,3+,Graduate,No,2521.0,3751,100.0,360.0,1.0,Urban,Y
LP000261,Male,No,2,Graduate,No,11301.0,0,113.0,360.0,1.0,Urban,Y
LP000262,Female,Yes,3+,Not Graduate,Yes,16623.0,647,119.0,360.0,1.0,Urban,Y
LP000263,Male,Yes,0,Graduate,No,2073.0,2035,182.0,60.0,,Semiurban,Y
